Response ID,How straightforward was this pub?,Could this pub be useful in your own work?,Were you able to find all the information you'd need to assess or reuse this work?,Does the evidence presented support the claims,Publishing version (from Pub),Date submitted
234,Clear,Maybe,Not really,Yes,v2.0,12/16/2024 10:59am
233,Clear,Yes,Some of it,Not really,v2.0,12/16/2024 10:41am
232,Clear,Maybe,Some of it,Yes,v2.0,12/14/2024 3:11pm
231,Clear,Yes,Yes,Yes,v1.0,12/14/2024 4:13am
230,Clear,Yes,Yes,Yes,v2.0,12/11/2024 10:51pm
229,Clear,Yes,Yes,Yes,v1.0,11/17/2024 3:11pm
228,Clear,Yes,Yes,Yes,v1.0,11/17/2024 3:06pm
227,Clear,Yes,Yes,,v1.0,11/17/2024 3:00pm
226,Clear,Maybe,Yes,Yes,v2.0,11/12/2024 5:44pm
225,Clear,Yes,Yes,Yes,v1.0,11/11/2024 1:09pm
224,Clear,Maybe,,Yes,v1.0,11/10/2024 9:37pm
223,Clear,Maybe,Some of it,Yes,v1.0,10/30/2024 11:41am
222,Clear,Maybe,Yes,Yes,v1.0,10/18/2024 4:17pm
221,Clear,Yes,Yes,Yes,v1.0,10/16/2024 9:46am
220,Clear,Yes,Yes,Yes,v2.0,10/15/2024 6:22am
219,Clear,Not really,Some of it,Some of them,v1.0,10/11/2024 10:41am
218,A little confusing,Yes,Yes,Yes,v1.0,10/11/2024 10:39am
217,Confusing,Yes,Some of it,Yes,v1.0,10/10/2024 12:04pm
216,Clear,Yes,Yes,Yes,v1.0,10/8/2024 5:41pm
215,Clear,Yes,Yes,Yes,v1.0,10/7/2024 11:30pm
214,Clear,Yes,Some of it,Yes,v1.0,10/3/2024 11:25am
213,Clear,Yes,Yes,Yes,v1.0,10/1/2024 12:46pm
212,Clear,Yes,Yes,Yes,v1.0,9/25/2024 3:55am
211,Clear,Maybe,Yes,Yes,v1.0,9/23/2024 3:37pm
210,Clear,Maybe,Some of it,Some of them,v2.0,9/23/2024 10:57am
209,Clear,Yes,Yes,Yes,v1.0,9/20/2024 1:50pm
208,Clear,Yes,Yes,Yes,v1.0,9/18/2024 10:27am
207,Clear,Yes,Some of it,Yes,v1.0,9/18/2024 8:50am
206,A little confusing,,Yes,Yes,v1.0,9/17/2024 9:47am
205,Clear,Yes,Yes,Yes,v1.0,9/16/2024 8:38pm
204,Clear,Maybe,Yes,Yes,v1.0,9/14/2024 12:57pm
203,Clear,Maybe,Yes,Yes,v2.0,9/14/2024 2:30am
202,Clear,Yes,Yes,Yes,v1.0,9/13/2024 7:03pm
201,Clear,Yes,Yes,Yes,v1.0,9/12/2024 10:26pm
200,Clear,Yes,Yes,Yes,v2.0,9/11/2024 2:08am
199,Clear,Not really,Yes,Yes,v1.0,9/10/2024 2:58pm
198,Clear,Not really,Yes,Yes,v1.0,9/10/2024 2:44pm
197,Clear,Not really,Yes,Yes,v1.0,9/9/2024 5:32pm
196,Clear,Yes,Yes,Yes,v1.0,9/6/2024 5:41pm
195,Clear,Yes,Yes,Yes,v1.0,9/6/2024 4:59pm
194,Clear,Maybe,Yes,Yes,v1.0,9/6/2024 4:47pm
193,Clear,Yes,Yes,Yes,v2.0,9/5/2024 2:47pm
192,Clear,Not really,Yes,Yes,v1.0,9/4/2024 3:26pm
191,Clear,Not really,Yes,Yes,v1.0,9/4/2024 3:11pm
190,Clear,Maybe,Some of it,,v1.0,9/2/2024 7:31pm
189,Clear,Not really,Yes,Yes,v1.0,8/31/2024 11:30am
188,Clear,Yes,Yes,Yes,v1.0,8/30/2024 11:37pm
187,Clear,Maybe,Yes,Yes,v1.0,8/29/2024 8:09pm
186,Clear,Not really,Some of it,Yes,v1.0,8/29/2024 2:00pm
185,Clear,Maybe,Yes,Yes,v1.0,8/29/2024 1:43pm
184,Clear,Yes,Yes,Yes,v1.0,8/29/2024 12:20pm
183,Clear,Yes,Yes,Yes,v2.0,8/27/2024 12:48am
182,Clear,Maybe,Yes,Yes,v2.0,8/21/2024 2:10pm
181,A little confusing,Maybe,Yes,Some of them,v1.0,8/15/2024 2:44pm
180,,Yes,Yes,Yes,v2.0,8/7/2024 11:13am
179,,Maybe,,Yes,v2.0,8/7/2024 7:18am
178,Clear,Yes,Yes,Yes,v2.0,8/6/2024 8:09am
