ArbitraryID,Status,Flesch reading ease version of record,Publishing version,Workdays in progress,Total number of pub team requests,Pub team request types
71,No services requested,,v2.0,70,0,
79,No services requested,,v2.0,45,1,Technical consultation
81,No services requested,,v2.0,41,0,
73,Service(s) in progress,,v2.0,93,3,Figure cleanup;Quick read-through for flow and clarity;Quick read-through for flow and clarity
74,Service(s) in progress,,v2.0,84,2,First-time pub onboarding;Figure cleanup
75,Service(s) in progress,,v2.0,75,1,Figure cleanup
77,Service(s) in progress,,v2.0,61,4,Quick read-through for flow and clarity;Thorough editing;Figure cleanup;Quick read-through for flow and clarity
80,🔔 Published 🔔,48.3%,v2.0,43,3,Generate AI podcast for pub;Visual strategy session;Figure cleanup
14,🔔 Published 🔔,43.10%,v2.0,6,0,
6,🔔 Published 🔔,41.30%,v2.0,55,4,Original figures;Quick read-through for flow and clarity;Thorough editing;Figure cleanup
4,🔔 Published 🔔,43.00%,v2.0,108,5,Technical consultation;Figure cleanup;Thorough editing;Figure feedback;Quick read-through for flow and clarity
9,🔔 Published 🔔,43.00%,v2.0,41,1,Thorough editing
1,🔔 Published 🔔,44.60%,v2.0,126,7,"Visual strategy session;Original figures;Original figures;Thorough editing;Other;Figure cleanup;""Figures for slides, posters, events"""
7,🔔 Published 🔔,36.10%,v2.0,41,3,Technical consultation;Figure cleanup;Thorough editing
11,🔔 Published 🔔,35.40%,v2.0,94,0,
2,🔔 Published 🔔,37.30%,v2.0,79,3,Figure cleanup;Original figures;Figure cleanup
3,🔔 Published 🔔,26.30%,v2.0,123,2,Quick read-through for flow and clarity;Original figures
5,Complete — internal,,v2.0,69,2,Thorough editing;Figure cleanup
12,🔔 Published 🔔,42.60%,v1.0,88,0,
41,🔔 Published 🔔,32.10%,v1.0,66,0,
15,🔔 Published 🔔,42.90%,v1.0,46,0,
46,🔔 Published 🔔,50.70%,v1.0,36,0,
56,🔔 Published 🔔,53.30%,v1.0,22,0,
48,🔔 Published 🔔,55.00%,v1.0,30,0,
22,🔔 Published 🔔,34.30%,v1.0,22,0,
49,🔔 Published 🔔,34.80%,v1.0,100,0,
23,🔔 Published 🔔,40.90%,v1.0,92,0,
52,🔔 Published 🔔,41.30%,v1.0,100,0,
44,🔔 Published 🔔,42.00%,v1.0,46,0,
34,🔔 Published 🔔,40.50%,v1.0,29,0,
21,🔔 Published 🔔,51.30%,v1.0,38,0,
32,🔔 Published 🔔,31.80%,v1.0,44,0,
65,🔔 Published 🔔,42.20%,v1.0,95,0,
30,🔔 Published 🔔,50.20%,v1.0,28,0,
55,🔔 Published 🔔,44.60%,v1.0,62,0,
17,🔔 Published 🔔,42.20%,v1.0,46,0,
33,🔔 Published 🔔,47.50%,v1.0,163,0,
62,🔔 Published 🔔,42.20%,v1.0,140,0,
24,🔔 Published 🔔,54.70%,v1.0,95,0,
59,🔔 Published 🔔,39.70%,v1.0,51,0,
31,🔔 Published 🔔,59.70%,v1.0,22,0,
45,🔔 Published 🔔,40.70%,v1.0,53,0,
18,🔔 Published 🔔,40.80%,v1.0,46,0,
25,🔔 Published 🔔,40.60%,v1.0,74,0,
54,🔔 Published 🔔,45.10%,v1.0,41,0,
60,🔔 Published 🔔,43.60%,v1.0,51,0,
26,🔔 Published 🔔,32.00%,v1.0,25,0,
37,🔔 Published 🔔,26.50%,v1.0,30,0,
51,🔔 Published 🔔,39.80%,v1.0,99,0,
19,🔔 Published 🔔,43.80%,v1.0,46,0,
28,🔔 Published 🔔,42.30%,v1.0,42,0,
35,🔔 Published 🔔,40.60%,v1.0,59,0,
63,🔔 Published 🔔,45.70%,v1.0,130,0,
38,🔔 Published 🔔,42.40%,v1.0,41,0,
66,🔔 Published 🔔,53.10%,v1.0,87,0,
64,🔔 Published 🔔,47.30%,v1.0,89,0,
53,🔔 Published 🔔,37.20%,v1.0,47,0,
67,🔔 Published 🔔,51.10%,v1.0,28,0,
8,🔔 Published 🔔,42.10%,v1.0,112,0,
50,🔔 Published 🔔,37.50%,v1.0,40,0,
36,🔔 Published 🔔,32.40%,v1.0,33,0,
58,🔔 Published 🔔,50.60%,v1.0,61,0,
20,🔔 Published 🔔,35.30%,v1.0,99,0,
57,🔔 Published 🔔,45.60%,v1.0,67,0,
68,🔔 Published 🔔,41.10%,v1.0,39,0,
69,🔔 Published 🔔,44.80%,v1.0,39,0,
27,🔔 Published 🔔,41.20%,v1.0,21,0,
70,🔔 Published 🔔,51.60%,v1.0,12,0,
40,🔔 Published 🔔,48.50%,v1.0,63,0,
47,🔔 Published 🔔,52.40%,v1.0,39,0,
10,🔔 Published 🔔,36.00%,v1.0,59,0,
16,Complete — internal,,v1.0,31,0,
13,Complete — internal,,v1.0,64,0,
